track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1145727611,20371,1,14,0.07142857142857142,15890,0,116,0.74,0.76,0.7,0.07,0.0,0.13,0.03
Butter,BTS,1,1143647827,1054,1,6,0.16666666666666666,4779,0,110,0.79,0.7,0.36,0.0,0.0,0.06,0.11
Astronaut In The Ocean,Masked Wolf,1,1138474110,1925,0,0,0.0,7191,1,150,0.78,0.47,0.7,0.18,0.0,0.15,0.09
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,1133865788,704,1,38,0.02631578947368421,6135,1,80,0.65,0.27,0.69,0.08,0.0,0.53,0.04
Night Changes,One Direction,1,1131090940,3431,1,18,0.05555555555555555,7124,0,120,0.67,0.4,0.52,0.86,0.0,0.12,0.04
Daddy Issues,The Neighbourhood,1,1127468248,3084,1,4,0.25,9771,0,85,0.59,0.33,0.52,0.07,0.15,0.12,0.03
SLOW DANCING IN THE DARK,Joji,1,1122364376,2036,0,0,0.0,10211,0,89,0.52,0.28,0.48,0.54,0.01,0.19,0.03
Dandelions,Ruth B.,1,1116995633,2538,1,21,0.047619047619047616,3423,0,117,0.61,0.45,0.69,0.02,0.0,0.09,0.03
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,1115880852,1131,0,0,0.0,14417,0,148,0.59,0.72,0.62,0.18,0.0,0.09,0.03
Shake It Off,Taylor Swift,1,1113838873,3751,1,13,0.07692307692307693,21335,0,160,0.65,0.95,0.8,0.05,0.0,0.41,0.16
I'm Good (Blue),"Bebe Rexha, David Guetta",2,1109433169,592,1,80,0.0125,12482,1,128,0.56,0.38,0.97,0.04,0.0,0.35,0.04
Money Trees,"Kendrick Lamar, Jay Rock",2,1093605526,4482,1,32,0.03125,26792,1,144,0.74,0.37,0.53,0.07,0.0,0.21,0.1
Somewhere Only We Know,Keane,1,1089402494,7404,1,16,0.0625,20015,0,172,0.45,0.33,0.59,0.06,0.0,0.08,0.03
I Ain't Worried,OneRepublic,1,1085685420,697,1,76,0.013157894736842105,8431,0,140,0.71,0.82,0.81,0.11,0.0,0.06,0.05
Boy With Luv (feat. Halsey),"Halsey, BTS",2,1065580332,1824,0,0,0.0,4260,1,120,0.65,0.8,0.86,0.09,0.0,0.19,0.1
Talking To The Moon,Bruno Mars,1,1062956628,4936,1,2,0.5,7109,1,146,0.52,0.07,0.61,0.51,0.0,0.11,0.03
The Business,Tiï¿½ï¿,1,1062345656,1560,0,0,0.0,14311,1,120,0.8,0.24,0.62,0.41,0.02,0.11,0.23
My Universe,"Coldplay, BTS",2,1061966512,928,1,13,0.07692307692307693,6127,0,105,0.58,0.42,0.68,0.01,0.0,0.14,0.04
Happier Than Ever,Billie Eilish,1,1056760045,984,0,0,0.0,8476,0,65,0.31,0.31,0.24,0.76,0.0,0.14,0.04
Efecto,Bad Bunny,1,1047480053,704,1,33,0.030303030303030304,4004,1,98,0.8,0.23,0.48,0.14,0.0,0.06,0.05
See You Again,"Tyler, The Creator, Kali Uchis",3,1047101291,2454,1,64,0.015625,13387,0,79,0.56,0.58,0.56,0.37,0.0,0.11,0.1
Need To Know,Doja Cat,1,1042568408,1033,0,0,0.0,6672,0,130,0.66,0.19,0.61,0.3,0.0,0.09,0.07
